dataset,study,architecture,trial_number,trial_state,validation_roc_auc,best_epoch,seed,configuration_source,parameters_json,resolved_config_json,validation_loss,validation_accuracy_0_5,validation_precision_0_5,validation_recall_0_5,validation_f1_0_5,validation_mcc_0_5,best_f1_threshold,trainable_parameter_count,training_seconds,gpu_peak_memory_bytes,pruned,failed,failure_reason,test_set_used,trial_directory
new,new_conv1d,conv1d,0,COMPLETE,0.9968431961679832,5.0,7,existing_config_adapted_to_search_interface,"{""batch_size"": 64, ""conv_activation"": ""relu"", ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dropout"": 0.0, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.001, ""pooling"": ""attention"", ""remove_padding"": false, ""slice_width"": 16, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""conv1d"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""new"", ""dropout"": 0.0, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.001, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""attention"", ""processor"": ""conv1d"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""attention"", ""slice_width"": 16, ""stride"": 16, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",0.0704191069316418,0.9761976197619762,0.9719426654467824,0.9915992532669572,0.981672570460496,0.9481268127603272,0.6664820909500122,246147.0,327.30120214028284,79298560.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_new/v2_fast10x5/conv1d/trials/trial_00000
new,new_conv1d,conv1d,1,COMPLETE,0.9987451201051406,5.0,7,optuna_sampled,"{""batch_size"": 32, ""conv_activation"": ""relu"", ""conv_kernel_size"": 3, ""conv_layers"": 3, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 256, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.0007792443849178462, ""pooling"": ""attention"", ""remove_padding"": false, ""slice_width"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""conv1d"", ""background"": ""black"", ""batch_size"": 32, ""conv_kernel_size"": 3, ""conv_layers"": 3, ""dataset"": ""new"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 256, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 256, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0007792443849178462, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""attention"", ""processor"": ""conv1d"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""attention"", ""slice_width"": 6, ""stride"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",0.0809182062225736,0.9690969096909692,0.9545387015302332,0.9995332918481644,0.9765179724903108,0.933520014812673,0.8969061374664307,541699.0,701.203099900391,117978112.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_new/v2_fast10x5/conv1d/trials/trial_00001
new,new_conv1d,conv1d,2,COMPLETE,0.9976320867278188,5.0,7,optuna_sampled,"{""batch_size"": 32, ""conv_activation"": ""relu"", ""conv_kernel_size"": 3, ""conv_layers"": 3, ""dropout"": 0.1, ""early_stopping_patience"": 2, ""embedding_dim"": 256, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.00022465276407383655, ""pooling"": ""attention"", ""remove_padding"": false, ""slice_width"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""conv1d"", ""background"": ""black"", ""batch_size"": 32, ""conv_kernel_size"": 3, ""conv_layers"": 3, ""dataset"": ""new"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 2, ""embedding_dim"": 256, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 256, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.00022465276407383655, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""attention"", ""processor"": ""conv1d"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""attention"", ""slice_width"": 6, ""stride"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",0.0798874449754024,0.9694969496949696,0.957554924525482,0.99673304293715,0.9767512767741444,0.9340503699317712,0.7442973256111145,541699.0,716.6535578258336,117978112.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_new/v2_fast10x5/conv1d/trials/trial_00002
new,new_conv1d,conv1d,3,PRUNED,0.5,1.0,7,optuna_sampled,"{""batch_size"": 128, ""conv_activation"": ""relu"", ""conv_kernel_size"": 3, ""conv_layers"": 3, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 256, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.0017740749265545926, ""pooling"": ""max"", ""remove_padding"": false, ""slice_width"": 6, ""stride_mode"": ""half_overlap"", ""weight_decay"": 0.0001}","{""activation"": ""relu"", ""architecture"": ""conv1d"", ""background"": ""black"", ""batch_size"": 128, ""conv_kernel_size"": 3, ""conv_layers"": 3, ""dataset"": ""new"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 256, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 256, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0017740749265545926, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""max"", ""processor"": ""conv1d"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""max"", ""slice_width"": 6, ""stride"": 3, ""stride_mode"": ""half_overlap"", ""weight_decay"": 0.0001}",,,,,,,,,,,True,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_new/v2_fast10x5/conv1d/trials/trial_00003
new,new_conv1d,conv1d,4,PRUNED,0.995121847726892,4.0,7,optuna_sampled,"{""batch_size"": 32, ""conv_activation"": ""gelu"", ""conv_kernel_size"": 3, ""conv_layers"": 3, ""dropout"": 0.2, ""early_stopping_patience"": 3, ""embedding_dim"": 256, ""final_head"": ""symmetric_linear"", ""learning_rate"": 0.000981735132032524, ""pooling"": ""attention"", ""remove_padding"": false, ""slice_width"": 16, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""gelu"", ""architecture"": ""conv1d"", ""background"": ""black"", ""batch_size"": 32, ""conv_kernel_size"": 3, ""conv_layers"": 3, ""dataset"": ""new"", ""dropout"": 0.2, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 256, ""final_activation"": ""relu"", ""final_head"": ""symmetric_linear"", ""final_hidden_dim"": 256, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.000981735132032524, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""attention"", ""processor"": ""conv1d"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""attention"", ""slice_width"": 16, ""stride"": 16, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",,,,,,,,,,,True,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_new/v2_fast10x5/conv1d/trials/trial_00004
new,new_bilstm,bilstm,0,COMPLETE,0.9963815632984856,4.0,7,existing_config_adapted_to_search_interface,"{""batch_size"": 64, ""dropout"": 0.0, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.001, ""lstm_hidden_ratio"": 0.5, ""lstm_layers"": 1, ""remove_padding"": false, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 16, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""bilstm"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""new"", ""dropout"": 0.0, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.001, ""lstm_hidden_ratio"": 0.5, ""lstm_hidden_size"": 64, ""lstm_layers"": 1, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""final_hidden"", ""processor"": ""bilstm"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 16, ""stride"": 16, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",0.0707104897877462,0.973897389738974,0.9732924021488872,0.986465463596764,0.9798346596615932,0.9430155190237088,0.554498553276062,345346.0,609.6288851220161,85293056.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_new/v2_fast10x5/bilstm/trials/trial_00000
new,new_bilstm,bilstm,1,COMPLETE,0.9994957391153272,4.0,7,optuna_sampled,"{""batch_size"": 32, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 256, ""final_activation"": ""gelu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_ratio"": 0.5, ""learning_rate"": 0.0007792443849178462, ""lstm_hidden_ratio"": 0.5, ""lstm_layers"": 2, ""remove_padding"": false, ""sequence_reduction"": ""attention"", ""slice_width"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""bilstm"", ""background"": ""black"", ""batch_size"": 32, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""new"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 256, ""final_activation"": ""gelu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": 0.5, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0007792443849178462, ""lstm_hidden_ratio"": 0.5, ""lstm_hidden_size"": 128, ""lstm_layers"": 2, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""attention"", ""processor"": ""bilstm"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""attention"", ""slice_width"": 6, ""stride"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",0.026097144355948,0.9944994499449944,0.9915162733302484,1.0,0.9957400666098676,0.9880511576730148,0.9697420597076416,1201154.0,1880.9758107010275,174727168.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_new/v2_fast10x5/bilstm/trials/trial_00001
new,new_bilstm,bilstm,2,COMPLETE,0.9996635937320568,4.0,7,optuna_sampled,"{""batch_size"": 32, ""dropout"": 0.1, ""early_stopping_patience"": 2, ""embedding_dim"": 64, ""final_activation"": ""gelu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_ratio"": 0.5, ""learning_rate"": 0.0008154045369534994, ""lstm_hidden_ratio"": 0.5, ""lstm_layers"": 2, ""remove_padding"": false, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""bilstm"", ""background"": ""black"", ""batch_size"": 32, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""new"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 2, ""embedding_dim"": 64, ""final_activation"": ""gelu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_dim"": 32, ""final_hidden_ratio"": 0.5, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0008154045369534994, ""lstm_hidden_ratio"": 0.5, ""lstm_hidden_size"": 32, ""lstm_layers"": 2, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""final_hidden"", ""processor"": ""bilstm"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 6, ""stride"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",0.0191294641446908,0.9955995599559956,0.9932014833127316,1.0,0.9965891472868216,0.9904361526686224,0.8724936246871948,103617.0,1892.8395884507336,90503680.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_new/v2_fast10x5/bilstm/trials/trial_00002
new,new_bilstm,bilstm,3,COMPLETE,0.999933759941672,5.0,7,optuna_sampled,"{""batch_size"": 128, ""dropout"": 0.1, ""early_stopping_patience"": 2, ""embedding_dim"": 64, ""final_activation"": ""gelu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_ratio"": 0.5, ""learning_rate"": 0.00021992956491937528, ""lstm_hidden_ratio"": 0.5, ""lstm_layers"": 2, ""remove_padding"": false, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 6, ""stride_mode"": ""half_overlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""bilstm"", ""background"": ""black"", ""batch_size"": 128, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""new"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 2, ""embedding_dim"": 64, ""final_activation"": ""gelu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_dim"": 32, ""final_hidden_ratio"": 0.5, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.00021992956491937528, ""lstm_hidden_ratio"": 0.5, ""lstm_hidden_size"": 32, ""lstm_layers"": 2, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""final_hidden"", ""processor"": ""bilstm"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 6, ""stride"": 3, ""stride_mode"": ""half_overlap"", ""weight_decay"": 0.0}",0.0126672785703904,0.9965996599659966,0.9951982651796778,0.9995332918481644,0.9973610679913072,0.9926003456010568,0.9585204720497132,103617.0,880.0800634846091,306833920.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_new/v2_fast10x5/bilstm/trials/trial_00003
new,new_bilstm,bilstm,4,PRUNED,0.8518354965508119,2.0,7,optuna_sampled,"{""batch_size"": 128, ""dropout"": 0.1, ""early_stopping_patience"": 2, ""embedding_dim"": 128, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.0001701883424307055, ""lstm_hidden_ratio"": 0.5, ""lstm_layers"": 2, ""remove_padding"": false, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 32, ""stride_mode"": ""half_overlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""bilstm"", ""background"": ""black"", ""batch_size"": 128, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""new"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 2, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0001701883424307055, ""lstm_hidden_ratio"": 0.5, ""lstm_hidden_size"": 64, ""lstm_layers"": 2, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""final_hidden"", ""processor"": ""bilstm"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 32, ""stride"": 16, ""stride_mode"": ""half_overlap"", ""weight_decay"": 0.0}",,,,,,,,,,,True,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_new/v2_fast10x5/bilstm/trials/trial_00004
