source,replacement,source_character,replacement_character,family,direction,operation,LEGIT_q25,LEGIT_mean,LEGIT_median,LEGIT_min,LEGIT_max,num_scored_examples,meets_min_support,lookup_version,input_source,unicode_name
-,‐,-,‐,exact,single_character,-_to_‐,3.8544281721115112,3.9859927881334443,4.192929744720459,-1.0843260288238525,4.956005096435547,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,HYPHEN
-,‑,-,‑,exact,single_character,-_to_‑,3.8544281721115112,3.9859927881334443,4.192929744720459,-1.0843260288238525,4.956005096435547,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,NON-BREAKING HYPHEN
0,߀,0,߀,exact,single_character,0_to_߀,0.4187285527586937,1.149499848499321,1.1602904796600342,-2.1883490085601807,4.187056064605713,260,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,NKO DIGIT ZERO
a,а,a,а,exact,single_character,a_to_а,4.364306449890137,4.483682167308871,4.672183990478516,-0.4133661985397339,5.114201068878174,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER A
c,ϲ,c,ϲ,exact,single_character,c_to_ϲ,4.249353408813477,4.434767143335193,4.5690295696258545,-0.4133661985397339,5.125534534454346,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,GREEK LUNATE SIGMA SYMBOL
c,с,c,с,exact,single_character,c_to_с,4.249353408813477,4.434767143335193,4.5690295696258545,-0.4133661985397339,5.125534534454346,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER ES
e,е,e,е,exact,single_character,e_to_е,4.33161985874176,4.479195293737575,4.619898319244385,1.152897596359253,5.097838401794434,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER IE
h,հ,h,հ,exact,single_character,h_to_հ,3.9628849029541016,4.161892328120302,4.353177070617676,-1.0809334516525269,5.065754413604736,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,ARMENIAN SMALL LETTER HO
h,һ,h,һ,exact,single_character,h_to_һ,2.4570040106773376,3.064051747103804,3.2660948038101196,-1.2332758903503418,4.91762638092041,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER SHHA
i,і,i,і,exact,single_character,i_to_і,4.353601694107056,4.492592901340686,4.623180866241455,0.6935288310050964,5.071965217590332,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
j,ϳ,j,ϳ,exact,single_character,j_to_ϳ,4.215933084487915,4.332525167381391,4.4977006912231445,-1.0843260288238525,5.004201412200928,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,GREEK LETTER YOT
j,ј,j,ј,exact,single_character,j_to_ј,4.215933084487915,4.332525167381391,4.4977006912231445,-1.0843260288238525,5.004201412200928,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER JE
l,ӏ,l,ӏ,exact,single_character,l_to_ӏ,3.6951404213905334,4.029873126302846,4.133413553237915,0.7524062395095825,5.086983680725098,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER PALOCHKA
n,ո,n,ո,exact,single_character,n_to_ո,4.329776763916016,4.484591188200284,4.642454147338867,-0.4133661985397339,5.117672920227051,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,ARMENIAN SMALL LETTER VO
o,ο,o,ο,exact,single_character,o_to_ο,4.21141242980957,4.366036420688033,4.477909088134766,-0.601998507976532,5.0796051025390625,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,GREEK SMALL LETTER OMICRON
o,о,o,о,exact,single_character,o_to_о,4.21141242980957,4.366036420688033,4.477909088134766,-0.601998507976532,5.0796051025390625,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER O
o,օ,o,օ,exact,single_character,o_to_օ,4.21141242980957,4.366036420688033,4.477909088134766,-0.601998507976532,5.0796051025390625,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,ARMENIAN SMALL LETTER OH
p,р,p,р,exact,single_character,p_to_р,4.14314079284668,4.320579411461949,4.520217657089233,-1.0843260288238525,5.090488433837891,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER ER
q,ԛ,q,ԛ,exact,single_character,q_to_ԛ,3.496694326400757,3.831041485085734,4.110751390457153,-1.2785046100616455,5.010061264038086,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER QA
s,ѕ,s,ѕ,exact,single_character,s_to_ѕ,4.372806072235107,4.507073572545778,4.662067651748657,0.3248611390590668,5.114201068878174,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER DZE
u,ս,u,ս,exact,single_character,u_to_ս,4.205228328704834,4.356197710323613,4.507075309753418,0.3248611390590668,5.108215808868408,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,ARMENIAN SMALL LETTER SEH
w,ԝ,w,ԝ,exact,single_character,w_to_ԝ,4.142254948616028,4.312160959583707,4.484282493591309,-1.0843260288238525,5.114537715911865,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER WE
x,х,x,х,exact,single_character,x_to_х,4.194471597671509,4.30749800792546,4.534249305725098,-1.0843260288238525,5.044926643371582,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER HA
y,у,y,у,exact,single_character,y_to_у,3.153710186481476,3.5954472439771052,3.9435513019561768,-2.2015578746795654,4.8159918785095215,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/exact_lookalike_approved.csv,CYRILLIC SMALL LETTER U
